Date,Open,High,Low,Close,Volume
2020-01-31,3759.8,3795.76,3587.42,3672.4,66793762816
2020-01-30,3633.54,3803.09,3566.86,3759.74,73761660928
2020-01-29,3624.77,3734.57,3571.23,3635.02,67700465664
2020-01-28,3492.33,3658.18,3449.45,3624.74,71854415872
2020-01-27,3368.46,3564.68,3351.15,3493.36,64419635200
2020-01-26,3234.03,3383.01,3204.53,3368.15,49958248448
2020-01-25,3275.65,3289.25,3184.95,3235.92,43432435712
2020-01-24,3269.9,3340.95,3140,3275.96,55782797312
2020-01-23,3438.9,3447.79,3204.51,3267.98,55670665216
2020-01-22,3450.9,3503.68,3387.02,3439.1,49225375744
2020-01-21,3396.43,3484.4,3336.67,3450.72,52870496256
2020-01-20,3359.95,3470.41,3262.3,3397.56,59197304832
2020-01-19,3432.07,3555.13,3242.61,3360.47,74388545536
2020-01-18,3509.35,3617.61,3342.07,3431.55,77118283776
2020-01-17,3401.78,3649.22,3306.94,3510.36,84335796224
2020-01-16,3424.05,3488.41,3237.96,3400.34,72074952704
2020-01-15,3422.41,3601.58,3228.08,3423.63,90119331840
2020-01-14,2890.48,3495.56,2884.95,3427.91,97374535680
2020-01-13,2909.92,2933.89,2836.26,2891.08,44975386624
2020-01-12,2842.72,2931.81,2820.73,2910.09,47588462592
2020-01-11,2859.71,2944.51,2804.89,2841.66,52367060992
2020-01-10,2714.61,2878.16,2653.47,2861.84,55341150208
2020-01-09,2752.05,2772.6,2666.93,2714.97,44359471104
2020-01-08,2784.45,2865.64,2694.87,2753.32,56923197440
2020-01-07,2752.9,2827.6,2688.86,2784.3,53950189568
2020-01-06,2597.98,2767.58,2590.29,2752.24,48210563072
2020-01-05,2578.9,2656.42,2563.75,2597.54,39637942272
2020-01-04,2546.78,2595.26,2517.77,2577.96,37314002944
2020-01-03,2416.76,2570.21,2388.27,2543.03,52247605248
2020-01-02,2503.41,2510.97,2394.74,2415.57,39310446592
2020-01-01,2474.39,2535.25,2455.8,2502.88,36776247296
2019-12-31,2517.62,2542.29,2450.9,2474.27,41624801280
2019-12-30,2545.77,2577.94,2480.62,2500.74,45315440640
2019-12-29,2488.33,2586.92,2471.64,2545.11,45065814016
2019-12-28,2469.63,2534,2454.37,2489.02,41809321984
2019-12-27,2442.54,2503.05,2416.27,2470.4,43444809728
2019-12-26,2440.33,2502.93,2402.47,2442.79,42944729088
2019-12-25,2471.58,2486.05,2406.07,2439.84,40974422016
